,x,y,z,Axon_to_Soma Length,Mylin_Metric,Axon_Radius
0,308309.25,264298.0,23265.95,442.6406,96.47177419354838,599.3491049390462
1,307934.5,264255.5,23264.95,441.13147,76.34556050737059,635.839939341523
2,307557.5,264240.75,23263.475,439.62115,69.01802361715352,617.378951499538
3,307185.25,264190.25,23261.05,438.1154,62.02694034637588,654.5132157563049
4,306814.0,264129.5,23258.075,436.60596,62.96296296296296,696.277346445087
5,306440.0,264088.0,23255.0,435.09573,71.70731707317073,838.1051978853279
6,306354.75,264083.75,23253.45,434.74872,82.6115061409179,896.5320487540365
7,305983.75,264065.75,23246.65,433.23828,83.0012853470437,938.5121956981199
8,305618.75,264024.25,23238.025,431.72894,93.87953367875647,931.0846525333237
9,305258.75,263957.25,23229.1,430.2213,93.83473208521626,1034.4088562764396
10,304902.0,263880.0,23219.85,428.7151,100.0,1078.2474831114052
11,304541.0,263880.0,23208.825,427.20526,98.0,1083.7617255882383
12,304176.0,263880.0,23199.275,425.6961,97.05788295490886,1007.5891519462584
13,303809.75,263880.0,23190.1,424.18585,100.0,1113.8731875514015
14,303446.75,263880.0,23179.8,422.6765,98.4375,1282.6275676851537
15,303076.75,263880.0,23172.4,421.16724,93.85052034058657,1090.5937805861674
16,302711.25,263880.0,23163.275,419.66034,100.0,1091.6708165403054
17,302357.0,263878.5,23150.475,418.1537,96.35352286773795,1082.1839514770904
18,302006.5,263851.5,23136.775,416.64453,97.50532400365076,1124.9593846489724
19,301654.5,263788.25,23125.05,415.13904,89.6873992910087,1089.412046231588
20,301301.0,263709.75,23114.475,413.63007,86.45061728395062,1197.022302403446
21,300939.75,263657.25,23104.825,412.11975,96.20094191522763,1117.7285267567274
22,300588.75,263566.0,23094.7,410.6136,86.941472624292,1077.9157036382016
23,300237.5,263473.0,23084.85,409.10773,91.27058092575334,1111.7688307247927
24,299873.25,263422.0,23076.35,407.59772,92.99710889816896,981.9605192813733
25,299540.5,263314.75,23068.15,406.16135,96.26582278481013,962.6989866877211
26,299173.0,263286.5,23060.425,404.65497,92.99548095545514,1143.759679297371
27,298799.25,263288.0,23055.075,403.1447,95.21640091116174,1071.952462787296
28,298428.5,263278.25,23048.075,401.635,99.67648010352636,1122.005563767239
29,298056.75,263243.0,23043.5,400.1302,99.09002274943126,1024.5138477687062
30,297682.75,263207.5,23040.55,398.62283,97.60827407886231,953.4476940091675
31,297308.5,263183.25,23036.275,397.11298,98.3875968992248,1066.759756124813
32,296942.75,263127.25,23029.325,395.60706,100.0,1106.2575220763922
33,296582.0,263055.0,23020.875,394.09708,91.53455928979074,1183.6208769994355
34,296223.0,262979.5,23011.95,392.58685,79.96794871794873,1260.1390418075027
35,295858.0,262912.5,23005.1,391.0774,75.59885020760142,1238.8775630539044
36,295493.0,262874.0,22996.5,389.56952,91.02079395085066,1124.7546373391542
37,295127.0,262835.25,22989.125,388.06808,78.0701754385965,1324.367603276491
38,294762.0,262753.0,22984.15,386.5583,68.3752417794971,1263.0871167584887
39,294391.75,262725.0,22978.0,385.05286,81.48861084376003,1037.0786828176454
40,294020.25,262714.0,22971.425,383.5431,83.07931570762052,1206.210745562406
41,293648.75,262704.25,22964.825,382.03333,89.85833869929169,1084.5335733327897
42,293275.75,262716.0,22959.0,380.52252,82.61706221937139,1006.7361721199558
43,292903.75,262720.0,22952.675,379.01306,84.89501723597618,1253.9889366227533
44,292531.25,262710.5,22946.95,377.5051,77.77777777777779,1076.047562241088
45,292157.0,262677.25,22943.35,375.99533,85.19118600129617,1312.4491394754423
46,291781.75,262660.75,22939.65,374.4856,74.08082649650562,1258.747320003151
47,291407.75,262648.25,22934.75,372.976,73.18632150846915,1317.774268488938
48,291034.5,262632.5,22929.7,371.46808,68.88888888888889,1232.3085501187595
49,290659.5,262592.5,22928.175,369.95834,63.966218329684075,1185.9232595113047
50,290298.25,262536.5,22919.225,368.45288,75.02420135527589,1034.7184462779298
51,289936.0,262488.0,22909.85,366.94363,92.59597806215723,997.3636065116283
52,289571.75,262452.25,22900.9,365.4365,90.8690176322418,1040.609874912204
53,289234.5,262374.25,22885.825,363.92627,97.21371708511941,1094.471811923598
54,288897.0,262332.75,22869.85,362.4235,85.9514294497387,1178.0109967834694
55,288551.5,262272.5,22855.9,360.91376,90.3765690376569,1090.0311158408742
56,288234.0,262202.75,22836.925,359.40814,96.7601738443303,1118.628333502054
57,287947.25,262181.0,22812.95,357.91052,88.2779198635976,1086.980098955776
58,287672.75,262185.5,22787.05,356.40082,89.6234309623431,826.4725945579403
59,287401.0,262181.75,22760.875,354.8915,71.82506307821698,1002.7926827177138
60,287132.5,262167.75,22734.375,353.38147,79.75609756097562,918.1179426537818
61,286863.75,262148.0,22707.975,351.8725,84.87895716945997,911.599126813088
62,286593.25,262096.25,22682.15,350.3623,98.01980198019803,804.3950371557473
63,286378.75,262069.5,22652.025,348.8792,93.36175395858709,877.188449253549
64,286214.0,262065.0,22618.05,347.36874,100.0,764.467229235135
65,286054.5,261955.75000000003,22589.225,345.9804,78.08302808302808,1007.7102131907681
66,285903.75,261676.75000000003,22568.8,344.47162,8.96817743490839,811.0687812265226
67,285833.0,261359.50000000003,22551.025,342.98972,41.055517477724464,594.7447714712509
68,285806.5,261055.75,22530.15,341.51166,0.0,724.122616974788
69,285767.25,260810.0,22501.775,340.00195,94.02985074626866,755.473737483487
70,285730.25,260553.0,22474.65,338.49997,25.073964497041416,858.0328147418551
71,285731.25,260229.24999999997,22455.25,336.99026,63.72372372372372,821.817497671163
72,285731.5,259902.49999999997,22436.35,335.48035,100.0,866.8486426636783
73,285730.25,259570.0,22418.5,333.97083,98.5006247396918,721.4538726227967
74,285730.0,259244.00000000003,22399.45,332.4605,73.07984790874525,680.3138670969101
75,285730.0,258925.25,22379.35,330.9532,79.26250456370938,860.0446902576653
76,285730.0,258648.00000000003,22353.75,329.44373,90.17094017094017,1028.6095520048634
