,x,y,z,Axon_to_Soma Length,Mylin_Metric,Axon_Radius
0,293798.0,267730.0,25315.0,658.0455,100.0,619.9407861959546
1,293868.5,267578.75,25290.55,656.8614,100.0,593.4731146759252
2,293985.75,267396.25,25259.85,655.3578,92.4074074074074,585.8850730046026
3,294143.0,267228.75,25229.9,653.8479,100.0,547.9695659545168
4,294398.75,267093.25,25207.75,652.39,100.0,557.544772172781
5,294690.0,266966.0,25188.2,650.89746,100.0,550.5243207676405
6,294903.75,266815.25,25161.025,649.38873,87.5,591.7178015967133
7,295112.0,266680.75,25132.55,647.87854,100.0,472.9944083867019
8,295396.25,266615.0,25108.975,646.3782,99.74358974358975,520.8023296801587
9,295675.5,266519.75,25085.8,644.87744,100.0,484.59117350842115
10,295952.5,266369.25,25065.9,643.3862,100.0,499.4301803813003
11,296263.25,266269.0,25047.0,641.87714,100.0,489.87176027012345
12,296569.25,266151.75,25028.25,640.36694,97.58064516129032,428.25289276466145
13,296878.75,266027.25,25010.65,638.8582,100.0,415.51680929741156
14,297175.5,265873.0,24993.475,637.3544,99.69558599695586,456.4652584803389
15,297479.0,265738.75,24976.65,635.866,100.0,414.668756987894
16,297808.25,265633.5,24961.975,634.36395,100.0,514.3029800257189
17,298126.5,265482.0,24948.425,632.85345,87.51493428912784,467.3151733180752
18,298428.5,265276.25,24939.7,631.3507,98.74843554443054,374.62622489945915
19,298698.25,265063.25,24924.075,629.84045,100.0,435.29330239542355
20,298973.75,264911.25,24903.9,628.34534,100.0,433.99501344713696
21,299209.75,264686.25,24885.7,626.8517,99.54710144927536,343.65864263799824
22,299481.75,264538.25,24864.45,625.3494,91.56378600823045,457.3693643327319
23,299763.25,264392.25,24844.15,623.8434,100.0,397.97647251529384
24,300042.5,264195.25,24829.025,622.3485,86.59049909801564,429.95326432944967
25,300233.0,263907.75,24814.9,620.8577,72.76940903823869,395.1859167850548
26,300354.0,263593.5,24797.85,619.3479,29.867482161060146,431.0944502392435
27,300565.5,263325.5,24781.775,617.8385,24.65753424657534,420.66144593786044
28,300775.5,263079.0,24762.725,616.3357,0.0,423.7186560423256
29,300940.5,262774.0,24747.825,614.8259,74.30453879941435,458.190387018318
30,301122.75,262541.5,24724.925,613.3308,100.0,506.54835255428424
31,301327.25,262323.5,24701.95,611.8229,99.15254237288136,443.0602143121668
32,301532.0,262060.5,24686.425,610.35205,95.11609287429944,424.29986344018204
33,301719.5,261758.50000000003,24674.6,608.85364,100.0,380.87601097280225
34,301892.5,261473.75,24656.95,607.34546,77.12344280860702,399.34704144675294
35,302048.0,261190.0,24637.525,605.8358,98.49056603773585,486.18698217334446
36,302119.0,260849.0,24624.65,604.35046,100.0,454.9248443660322
37,302204.5,260485.25,24619.475,602.84155,88.3401062832135,488.469375988503
38,302282.0,260116.75000000003,24617.075,601.3323,87.70869314910766,639.2759736292332
39,302274.25,259743.0,24622.25,599.82263,89.86817325800376,473.3324864538746
40,302314.0,259375.5,24622.125,598.3441,87.99098518995493,581.0039495861695
41,302408.0,259015.0,24616.0,596.83386,81.5694032311243,591.9267168156946
42,302406.75,258638.50000000003,24613.325,595.32404,81.44955300127714,463.18306432890853
43,302455.75,258271.00000000003,24608.625,593.82916,99.16666666666667,554.3556642347825
44,302575.75,257946.25000000003,24597.15,592.37024,87.28270814272643,513.5779931912308
45,302733.25,257702.99999999997,24573.8,590.8816,100.0,441.4824739985091
46,302721.75,257442.25,24546.675,589.3759,100.0,405.63336014677765
47,302686.25,257225.00000000003,24516.0,587.86566,100.0,428.5389233146544
48,302636.25,257056.75000000003,24483.55,586.38995,100.0,437.7465350085471
49,302494.5,256868.0,24457.325,584.9786,100.0,508.17537028770425
50,302316.75,256603.25,24437.125,583.4687,100.0,490.752563983029
51,302199.25,256345.00000000003,24413.7,581.99695,100.0,452.3427432801254
52,302172.25,256096.75,24385.375,580.4865,100.0,390.18608412353734
53,302113.75,255818.0,24360.675,578.9785,100.0,422.5137673084262
54,302000.5,255494.0,24345.075,577.47046,100.0,425.1744180397758
55,301917.5,255139.25,24336.45,575.97284,94.31387414708112,445.974869688116
56,301882.5,254769.5,24331.075,574.4718,100.0,456.5429569630825
57,301890.25,254397.25,24325.9,572.96814,100.0,397.7190339659595
58,301860.0,254065.0,24308.25,571.4584,100.0,411.92062756997035
59,301874.5,253711.0,24298.65,569.9901,97.90431000395414,330.70290207667455
60,301927.75,253338.25,24296.1,568.48047,97.1438523162661,410.5531860036762
61,301849.25,252974.0,24290.725,566.9746,92.62023217247098,387.3823547756585
62,301697.0,252637.0,24283.775,565.46954,95.7968476357268,441.5590815684736
63,301495.0,252354.75,24270.625,563.98486,100.0,426.5576140092025
64,301308.75,252060.75,24256.825,562.4873,100.0,426.0234030361417
65,301173.75,251732.25,24244.85,560.98816,100.0,439.9355855980505
66,301093.25,251387.25,24232.0,559.4807,100.0,350.7322459651796
67,301029.0,251043.5,24217.975,557.97363,97.739221871714,350.61198400875253
68,301107.25,250717.5,24218.325,556.63245,94.27710843373494,357.46538434947087
69,301209.25,250410.5,24236.875,555.14087,100.0,420.1496100033256
70,301283.25,250075.75,24252.175,553.63916,100.0,421.2909499455315
71,301361.5,249724.5,24261.675,552.1504,98.60312243221036,484.43987326644725
72,301455.0,249359.0,24260.35,550.6404,98.92255892255892,356.92799391040086
73,301464.0,248986.75,24257.15,549.1455,93.36569579288026,364.75581694642636
74,301461.25,248611.0,24255.625,547.6412,81.87134502923976,465.77870418560775
75,301484.5,248235.0,24257.1,546.1331,82.86145715364287,444.88137554725785
76,301612.5,247894.5,24264.925,544.6448,99.21985815602838,387.32193728792555
77,301813.25,247601.25,24274.3,543.1746,89.8400345871163,352.60663468086966
78,302040.25,247304.75,24276.575,541.6782,99.71671388101983,395.5844825201317
79,302196.25,246983.0,24267.825,540.2057,98.99928520371694,357.6779282079969
80,302259.25,246629.0,24259.0,538.72473,97.72296015180265,363.4585642425994
81,302358.75,246265.0,24259.0,537.21533,97.0909090909091,311.88498705491133
82,302384.5,245894.75,24263.95,535.71765,90.02184996358339,324.5356102112455
83,302435.0,245528.75,24263.775,534.23975,89.44270015698586,322.7588513013629
84,302525.5,245169.5,24257.05,532.73364,78.44897959183673,374.4070172192562
85,302590.5,244839.25,24239.975,531.22394,74.11417322834646,406.87999729020197
86,302701.5,244506.5,24227.775,529.7384,100.0,371.23948916474967
87,302740.75,244152.25,24215.5,528.2305,92.73693534100974,435.0381876921517
88,302732.0,243792.5,24204.125,526.72095,99.92695398100804,359.4426096352243
89,302736.5,243457.75,24187.525,525.2262,99.67320261437908,346.4843877732863
90,302752.0,243143.75,24166.65,523.71674,84.23423423423422,348.60569068382677
91,302687.75,242822.25,24148.175,522.2114,82.6879271070615,385.835288166607
92,302716.0,242473.0,24137.9,520.7508,75.55739058629231,372.8557484532121
93,302796.5,242109.75,24131.575,519.2412,73.52036894696387,435.4960850333745
94,302845.0,241744.75,24123.225,517.731,81.05489773950484,404.0472064413176
95,302958.75,241394.0,24116.25,516.2299,79.97892518440463,379.73875158435186
96,303094.75,241048.75,24109.325,514.72,85.88850174216029,375.29961195969156
97,303243.75,240713.75,24100.525,513.2118,93.36589336589337,364.61262022867794
98,303376.0,240365.75,24101.2,511.7224,82.42175150173885,343.2764809463712
99,303500.25,240015.25,24106.85,510.21783,99.85935302390999,339.510038269039
100,303644.75,239687.25,24118.725,508.70752,99.4729907773386,344.12862460908804
101,303689.5,239339.0,24131.525,507.21265,87.45098039215686,371.84244801231773
102,303666.75,238975.0,24141.125,505.7041,100.0,459.01894071564016
103,303648.0,238607.0,24148.925,504.19757,76.31826741996234,373.2188815325868
104,303648.0,238231.0,24152.3,502.6875,64.23798918230989,416.2617162758238
105,303602.25,237875.25,24153.15,501.25238,61.48471615720524,329.0389420896573
106,303353.75,237609.5,24143.1,499.74258,42.36162361623616,335.90025770035055
107,303107.75,237331.25,24136.55,498.23404,19.57886959734023,414.0062727615614
108,302827.75,237082.0,24132.575,496.72617,16.882067851373183,328.67865785242424
109,302722.75,236737.5,24125.4,495.25726,5.06198347107438,333.6520757364252
110,302641.25,236374.0,24120.3,493.75327,1.0622887493964268,302.4981307494028
111,302506.5,236033.25,24112.15,492.25174,1.9701492537313434,311.4327636522395
112,302392.5,235680.5,24105.35,490.74414,14.747474747474747,330.2341687028558
113,302270.25,235337.5,24097.025,489.25,0.0,313.6496770290556
114,302117.75,235034.5,24080.725,487.74463,0.0,295.32347657775665
115,301977.5,234766.75,24058.55,486.24512,0.0,274.77498846529727
116,301833.5,234513.25,24034.575,484.7353,0.0,298.29379796616587
117,301817.0,234189.0,24017.45,483.26703,1.2360939431396787,311.02860728157765
118,301847.0,233840.75,24003.4,481.76013,30.704225352112672,301.0929937415917
119,301901.25,233483.25,23992.525,480.24976,26.79372197309417,319.0428431394687
120,301966.0,233128.5,23981.35,478.73965,90.5982905982906,369.55784198907355
121,302054.5,232778.25,23970.95,477.23593,56.91806836679327,352.9574187206358
122,302173.75,232427.5,23963.825,475.72693,63.38215712383488,323.47248330041674
123,302228.25,232079.5,23950.825,474.22504,96.1842105263158,313.9002578132554
124,302293.5,231726.25,23940.95,472.73483,51.53700189753321,319.13426286273335
125,302392.0,231363.0,23938.225,471.22543,48.13962408899118,310.4246317838904
126,302495.5,231007.75,23930.85,469.71625,60.90308370044053,310.9861197443706
127,302556.75,230642.0,23924.3,468.2099,96.18104667609619,336.28516488608096
128,302604.75,230272.75,23918.15,466.7003,76.88470066518846,375.44700303016924
129,302606.0,229902.0,23911.0,465.18994,89.17995444191345,345.22373229937716
130,302509.75,229554.5,23901.825,463.70166,97.96363636363637,354.90932563060096
131,302379.25,229218.25,23890.8,462.19302,100.0,363.77801649423066
132,302255.25,228887.75,23877.45,460.68344,98.34146341463415,366.53375527464686
133,302159.75,228538.75,23866.7,459.17358,84.91786958685913,369.6538769209246
